import took 958ms
elaboration took 90.4ms
instantiate metavars took 3.35s
process pre-definitions took 82.8ms
elaboration took 1.79s
type checking took 86.9ms
type checking took 139ms
compilation (LCNF base) took 99.5ms
tactic execution of Lean.Parser.Tactic.rewriteSeq took 73.3ms
tactic execution of Lean.Parser.Tactic.rewriteSeq took 74.4ms
tactic execution of Lean.Parser.Tactic.rewriteSeq took 63.5ms
tactic execution of Lean.Parser.Tactic.rewriteSeq took 59.3ms
tactic execution of Lean.Parser.Tactic.rewriteSeq took 62.8ms
tactic execution of Lean.Parser.Tactic.rewriteSeq took 60.4ms
tactic execution of Lean.Parser.Tactic.rewriteSeq took 63.7ms
tactic execution of Lean.Parser.Tactic.rewriteSeq took 82.7ms
tactic execution of Lean.Parser.Tactic.rewriteSeq took 75.1ms
tactic execution of Lean.Parser.Tactic.rewriteSeq took 72.3ms
tactic execution of Lean.Parser.Tactic.rewriteSeq took 60.9ms
tactic execution of Lean.Parser.Tactic.rewriteSeq took 61.8ms
tactic execution of Lean.Parser.Tactic.rewriteSeq took 61ms
tactic execution of Lean.Parser.Tactic.rewriteSeq took 60ms
tactic execution of Lean.Parser.Tactic.rewriteSeq took 63.6ms
tactic execution of Lean.Parser.Tactic.rewriteSeq took 80ms
tactic execution of Lean.Parser.Tactic.rewriteSeq took 73.2ms
tactic execution of Lean.Parser.Tactic.rewriteSeq took 73ms
tactic execution of Lean.Parser.Tactic.rewriteSeq took 62.1ms
tactic execution of Lean.Parser.Tactic.rewriteSeq took 61.4ms
tactic execution of Lean.Parser.Tactic.rewriteSeq took 63.8ms
tactic execution of Lean.Parser.Tactic.rewriteSeq took 61.7ms
tactic execution of Lean.Parser.Tactic.rewriteSeq took 51.9ms
tactic execution of Lean.Parser.Tactic.rewriteSeq took 64.5ms
tactic execution of Lean.Parser.Tactic.rewriteSeq took 81ms
tactic execution of Lean.Parser.Tactic.rewriteSeq took 76.9ms
tactic execution of Lean.Parser.Tactic.rewriteSeq took 72.3ms
tactic execution of Lean.Parser.Tactic.rewriteSeq took 70ms
tactic execution of Lean.Parser.Tactic.rewriteSeq took 61.4ms
tactic execution of Lean.Parser.Tactic.rewriteSeq took 62.5ms
tactic execution of Lean.Parser.Tactic.rewriteSeq took 61.2ms
tactic execution of Lean.Parser.Tactic.rewriteSeq took 63ms
tactic execution of Lean.Parser.Tactic.rewriteSeq took 80.2ms
tactic execution of Lean.Parser.Tactic.rewriteSeq took 75.1ms
tactic execution of Lean.Parser.Tactic.rewriteSeq took 74.3ms
tactic execution of Lean.Parser.Tactic.rewriteSeq took 62.6ms
tactic execution of Lean.Parser.Tactic.rewriteSeq took 60.8ms
tactic execution of Lean.Parser.Tactic.rewriteSeq took 64.3ms
tactic execution of Lean.Parser.Tactic.rewriteSeq took 60ms
tactic execution of Lean.Parser.Tactic.rewriteSeq took 50.8ms
tactic execution of Lean.Parser.Tactic.rewriteSeq took 75.1ms
tactic execution of Lean.Parser.Tactic.rewriteSeq took 95ms
tactic execution of Lean.Parser.Tactic.rewriteSeq took 90.5ms
tactic execution of Lean.Parser.Tactic.rewriteSeq took 86.9ms
tactic execution of Lean.Parser.Tactic.rewriteSeq took 77.7ms
tactic execution of Lean.Parser.Tactic.rewriteSeq took 72.9ms
tactic execution of Lean.Parser.Tactic.rewriteSeq took 73.9ms
tactic execution of Lean.Parser.Tactic.rewriteSeq took 73.7ms
tactic execution of Lean.Parser.Tactic.rewriteSeq took 58.8ms
tactic execution of Lean.Parser.Tactic.omega took 213ms
tactic execution of Lean.Parser.Tactic.rewriteSeq took 76ms
tactic execution of Lean.Parser.Tactic.rewriteSeq took 101ms
tactic execution of Lean.Parser.Tactic.rewriteSeq took 95.1ms
